🕘更新时间,#genre#
更新时间,https://example.com/update$!

📺央视频道,#genre#
CCTV-1,https://example.com/cctv1.m3u8
CCTV-2,https://example.com/cctv2.m3u8
CCTV-3,https://example.com/cctv3.m3u8
CCTV-4,https://example.com/cctv4.m3u8
CCTV-5,https://example.com/cctv5.m3u8
CCTV-5+,https://example.com/cctv5plus.m3u8
CCTV-6,https://example.com/cctv6.m3u8
CCTV-8,https://example.com/cctv8.m3u8
CCTV-13,https://example.com/cctv13.m3u8

🛰️卫视频道,#genre#
湖南卫视,https://example.com/hunan.m3u8
浙江卫视,https://example.com/zhejiang.m3u8
江苏卫视,https://example.com/jiangsu.m3u8
东方卫视,https://example.com/dragon.m3u8
北京卫视,https://example.com/beijing.m3u8
深圳卫视,https://example.com/shenzhen.m3u8

🍀广东频道,#genre#
广东卫视,https://example.com/gdws.m3u8
广州综合,https://example.com/gzzh.m3u8
南方卫视,https://example.com/nfws.m3u8
广东体育,https://example.com/gdty.m3u8
珠江频道,https://example.com/zhujiang.m3u8

🌏港澳频道,#genre#
凤凰中文,https://example.com/phoenix-cn.m3u8
凤凰资讯,https://example.com/phoenix-info.m3u8
TVB星河,https://example.com/tvbxinghe.m3u8

🧰备用频道,#genre#
CCTV-1 备用,https://example.com/cctv1-bak.m3u8$!
CCTV-5 备用,https://example.com/cctv5-bak.m3u8$!
湖南卫视备用,https://example.com/hunan-bak.m3u8$!
