分类: 📺央视频道, 名称: CCTV-1, 有效: 5, IPv4: 12, IPv6: 13, 最小延迟: 130 ms, 最高速率: 7.74 M/s, 平均速率: 6.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-2, 有效: 5, IPv4: 12, IPv6: 4, 最小延迟: 134 ms, 最高速率: 7.51 M/s, 平均速率: 6.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: ac3
分类: 📺央视频道, 名称: CCTV-3, 有效: 5, IPv4: 13, IPv6: 4, 最小延迟: 132 ms, 最高速率: 7.67 M/s, 平均速率: 5.37 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: ac3
分类: 📺央视频道, 名称: CCTV-4, 有效: 5, IPv4: 12, IPv6: 4, 最小延迟: 228 ms, 最高速率: 5.02 M/s, 平均速率: 2.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: ac3
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 12, IPv6: 5, 最小延迟: 120 ms, 最高速率: 8.46 M/s, 平均速率: 6.65 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 11, IPv6: 6, 最小延迟: 133 ms, 最高速率: 8.52 M/s, 平均速率: 5.26 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-4K, 有效: 0, IPv4: 0, IPv6: 1, 最小延迟: 10443 ms, 最高速率: 0.08 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-5+, 有效: 5, IPv4: 8, IPv6: 6, 最小延迟: 130 ms, 最高速率: 4.38 M/s, 平均速率: 1.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 12, IPv6: 4, 最小延迟: 123 ms, 最高速率: 7.98 M/s, 平均速率: 5.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-8, 有效: 5, IPv4: 12, IPv6: 5, 最小延迟: 139 ms, 最高速率: 7.61 M/s, 平均速率: 7.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-9, 有效: 5, IPv4: 11, IPv6: 5, 最小延迟: 106 ms, 最高速率: 9.08 M/s, 平均速率: 5.37 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-10, 有效: 5, IPv4: 10, IPv6: 4, 最小延迟: 111 ms, 最高速率: 8.99 M/s, 平均速率: 6.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-11, 有效: 5, IPv4: 11, IPv6: 4, 最小延迟: 120 ms, 最高速率: 8.11 M/s, 平均速率: 7.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-12, 有效: 5, IPv4: 11, IPv6: 4, 最小延迟: 119 ms, 最高速率: 8.19 M/s, 平均速率: 4.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-13, 有效: 5, IPv4: 11, IPv6: 6, 最小延迟: 126 ms, 最高速率: 7.59 M/s, 平均速率: 5.94 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-14, 有效: 5, IPv4: 8, IPv6: 5, 最小延迟: 124 ms, 最高速率: 8.07 M/s, 平均速率: 5.89 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-16, 有效: 5, IPv4: 9, IPv6: 6, 最小延迟: 102 ms, 最高速率: 10.08 M/s, 平均速率: 6.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-15, 有效: 5, IPv4: 11, IPv6: 6, 最小延迟: 112 ms, 最高速率: 8.04 M/s, 平均速率: 5.37 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-17, 有效: 5, IPv4: 11, IPv6: 4, 最小延迟: 115 ms, 最高速率: 8.47 M/s, 平均速率: 5.34 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CGTN西语, 有效: 1, IPv4: 0, IPv6: 1, 最小延迟: 2643 ms, 最高速率: 1.80 M/s, 平均速率: 1.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CGTN, 有效: 2, IPv4: 0, IPv6: 2, 最小延迟: 2613 ms, 最高速率: 1.67 M/s, 平均速率: 1.62 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CGTN纪录, 有效: 2, IPv4: 0, IPv6: 2, 最小延迟: 1965 ms, 最高速率: 3.02 M/s, 平均速率: 2.23 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CGTN法语, 有效: 2, IPv4: 1, IPv6: 1, 最小延迟: 131 ms, 最高速率: 25.39 M/s, 平均速率: 23.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CGTN阿语, 有效: 1, IPv4: 0, IPv6: 1, 最小延迟: 1898 ms, 最高速率: 4.20 M/s, 平均速率: 4.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CGTN俄语, 有效: 2, IPv4: 1, IPv6: 1, 最小延迟: 1668 ms, 最高速率: 3.00 M/s, 平均速率: 2.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 12, IPv6: 3, 最小延迟: 114 ms, 最高速率: 8.08 M/s, 平均速率: 6.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
